season,batting_team,batter,matches,total_balls,total_runs,dot_balls,ones,twos,threes,fours,sixes,thirty_plus,fifty_plus,hundred_plus,dismissals,Not_outs,batting_average,strike_rate,runs_fours(4s)%,runs_sixes(6s)%,boundary_runs(%),dot_balls(%),Hussey_Index,DPPI,BPI
2023,Lucknow Super Giants,MP Stoinis,15,272,408,107,104,15,0,28,27,5,3,0,13,2,31.38,150.0,27.45,39.71,67.16,39.34,181.38,47.07,65.36
2023,Lucknow Super Giants,N Pooran,15,207,358,78,76,11,0,26,26,6,2,0,12,3,29.83,172.95,29.05,43.58,72.63,37.68,202.77999999999997,51.59,72.98
2023,Mumbai Indians,C Green,16,282,452,84,123,17,1,40,22,7,2,1,9,7,50.22,160.28,35.4,29.2,64.6,29.79,210.5,80.49,72.1
2023,Mumbai Indians,Ishan Kishan,15,318,454,137,103,12,1,54,18,8,3,0,15,0,30.27,142.77,47.58,23.79,71.37,43.08,173.04000000000002,43.22,63.61
2023,Mumbai Indians,N Wadhera,10,166,241,67,61,8,0,23,12,3,2,0,9,1,26.78,145.18,38.17,29.88,68.05,40.36,171.96,38.88,62.92
2023,Mumbai Indians,RG Sharma,16,250,332,121,80,5,0,35,17,4,2,0,16,0,20.75,132.8,42.17,30.72,72.89,48.4,153.55,27.56,58.87
2023,Mumbai Indians,SA Yadav,16,334,605,98,121,28,0,65,28,8,5,1,14,2,43.21,181.14,42.98,27.77,70.74,29.34,224.35,78.27,78.13
2023,Mumbai Indians,TH David,15,146,231,48,67,13,0,12,15,3,0,0,9,6,25.67,158.22,20.78,38.96,59.74,32.88,183.89,40.62,65.15
2023,Mumbai Indians,Tilak Varma,11,209,343,89,75,13,0,26,23,5,1,0,8,3,42.88,164.11,30.32,40.23,70.55,42.58,206.99,70.37,72.37
2023,Punjab Kings,Atharva Taide,7,129,186,53,45,11,1,20,6,2,2,0,7,0,26.57,144.19,43.01,19.35,62.37,41.09,170.76,38.31,61.34
2023,Punjab Kings,Harpreet Brar,8,41,52,15,20,0,0,5,2,0,0,0,6,2,8.67,126.83,38.46,23.08,61.54,36.59,135.5,11.0,52.29
2023,Punjab Kings,JM Sharma,14,198,309,82,65,15,0,22,21,3,0,0,13,1,23.77,156.06,28.48,40.78,69.26,41.41,179.83,37.1,65.52
2023,Punjab Kings,LS Livingstone,9,171,279,60,67,9,0,20,19,3,2,0,8,1,34.88,163.16,28.67,40.86,69.53,35.09,198.04,56.91,70.23
2023,Punjab Kings,M Shahrukh Khan,12,94,156,36,34,8,0,13,9,1,0,0,7,5,22.29,165.96,33.33,34.62,67.95,38.3,188.25,36.99,68.34
2023,Punjab Kings,P Simran Singh,14,238,358,111,63,13,1,38,19,4,1,1,14,0,25.57,150.42,42.46,31.84,74.3,46.64,175.98999999999998,38.46,65.3
2023,Punjab Kings,S Dhawan,11,261,373,122,79,13,0,49,12,5,3,0,9,2,41.44,142.91,52.55,19.3,71.85,46.74,184.35,59.22,66.18
2023,Punjab Kings,SM Curran,13,203,276,79,84,17,0,20,13,2,1,0,10,3,27.6,135.96,28.99,28.26,57.25,38.92,163.56,37.52,58.21
